model,provider,parameters_billions,context_window,training_cutoff,input_cost_per_1m_usd,output_cost_per_1m_usd,pricing_note,open_source,multimodal,function_calling,json_mode,streaming,fine_tuning,enterprise_ready,mmlu_score,human_eval_score,math_score,mt_bench_score,latency_ttft_ms,throughput_tps,best_for
GPT-4.1,OpenAI,Undisclosed,1M,Jun 2024,2.00,8.00,Pay-as-you-go API; prompt caching at $0.50/1M input,false,true,true,true,true,true,true,86.5,90.2,80.4,9.2,~400ms,80-190,"General-purpose enterprise AI, long-context tasks, tool use, code generation"
GPT-4.1 mini,OpenAI,Undisclosed,1M,Jun 2024,0.40,1.60,Pay-as-you-go API; prompt caching at $0.10/1M input,false,true,true,true,true,true,true,83.5,87.5,72.0,8.8,~200ms,120-180,"High-volume chatbots, classification, summarization, cost-sensitive production workloads"
o4-mini,OpenAI,Undisclosed,200K,Jun 2024,1.10,4.40,Reasoning model with extended thinking; cached input at $0.275/1M,false,true,true,true,true,false,true,83.2,93.4,96.7,,~2-10s,30-60,"Complex reasoning, math, coding, visual tasks, cost-efficient reasoning workloads"
o3,OpenAI,Undisclosed,200K,Jun 2024,2.00,8.00,Most powerful reasoning model; 80% price reduction since launch; cached input at $0.50/1M,false,true,true,true,true,false,true,87.5,95.2,96.7,,~3-15s,20-50,"Hardest reasoning tasks, agentic workflows, science, mission-critical accuracy"
Claude Sonnet 4.5,Anthropic,Undisclosed,200K,Apr 2025,3.00,15.00,Pay-as-you-go API; prompt caching available; 66% cheaper than previous gen,false,true,true,true,true,false,true,89.0,93.0,78.5,9.2,~400ms,70-90,"Complex reasoning, long-document analysis, code review, nuanced conversation"
Claude Haiku 4.5,Anthropic,Undisclosed,200K,Apr 2025,1.00,5.00,Pay-as-you-go API; prompt caching available; extended thinking supported,false,true,true,true,true,false,true,80.0,89.5,72.0,8.6,~200ms,120-150,"Fast customer support, multi-agent systems, real-time classification, high-throughput tasks"
Claude Opus 4.5,Anthropic,Undisclosed,200K,Apr 2025,5.00,25.00,Pay-as-you-go API; highest-capability Anthropic model,false,true,true,true,true,false,true,89.5,91.0,76.0,9.3,~600ms,40-60,"Mission-critical accuracy, nuanced analysis, complex writing, regulated industries"
Gemini 2.5 Pro,Google,Undisclosed,1M,Jan 2025,1.25,10.00,Pay-as-you-go API; tiered pricing above 200K context ($2.50/$15.00),false,true,true,true,true,true,true,87.2,84.0,78.0,9.0,~500ms,60-80,"Long-context RAG, document processing, video/audio analysis, agentic applications"
Gemini 2.5 Flash,Google,Undisclosed,1M,Jan 2025,0.30,2.50,Pay-as-you-go API; free tier available; hybrid reasoning with thinking budgets,false,true,true,true,true,false,true,83.6,82.0,73.1,8.6,~150ms,150-200,"Cost-efficient production workloads, large context tasks, multimodal processing"
Llama 4 Scout,Meta,17B active (16 experts),10M,Dec 2024,0.11,0.34,Open source; pricing via Groq/DeepInfra. Fits on a single H100 GPU,true,true,true,true,true,true,false,79.6,82.0,70.5,8.3,~200-600ms,100-600,"Massive context (10M tokens), multimodal, on-premises deployment, cost optimization"
Llama 4 Maverick,Meta,17B active (128 experts),10M,Dec 2024,0.20,0.60,Open source; pricing via Groq/DeepInfra/Together AI,true,true,true,true,true,true,false,85.5,88.0,78.5,8.7,~300-1000ms,50-560,"Best open-source all-around performance, data sovereignty, custom fine-tuning"
DeepSeek V3,DeepSeek,671 (37B active),128K,Dec 2024,0.25,1.10,Open source (MIT); pricing via DeepSeek API and inference providers,true,false,true,true,true,true,false,88.5,82.6,90.2,8.8,~300-1000ms,50-100,"Cost-efficient reasoning, math-heavy tasks, code generation, open-source GPT-4 alternative"
DeepSeek R1,DeepSeek,671 (37B active),128K,Dec 2024,0.55,2.19,Open source (MIT); reasoning model with chain-of-thought,true,false,false,false,true,false,false,90.8,85.3,97.3,,~2-15s,20-50,"Advanced reasoning, mathematical proofs, scientific analysis, research tasks"
Mistral Large 3,Mistral AI,675 (41B active),256K,Jun 2025,0.50,1.50,Open source (Apache 2.0); EU-hosted option; MoE architecture,true,true,true,true,true,true,true,85.5,90.2,83.5,8.5,~350ms,60-80,"European data residency, multilingual enterprise, coding, open-source frontier model"
Mistral Small 3.2,Mistral AI,24,128K,Mar 2025,0.06,0.18,Open source; EU-hosted; ultra-efficient 24B model,true,false,true,true,true,true,true,72.2,75.0,60.0,8.1,~100ms,150-200,"Ultra-low-cost classification, routing, edge deployment, cost-efficient European workloads"
Command A,Cohere,Undisclosed,256K,Mar 2024,2.50,10.00,Pay-as-you-go API; RAG-optimized with grounded generation,false,false,true,true,true,true,true,71.2,68.0,53.0,8.2,~280ms,60-80,"Enterprise RAG, grounded generation with citations, multilingual search, agentic workflows"
